source	target	weight
Agriculture	Greenhouse gas	4
Agriculture	Population	6
Agrochemical	Business	1
Agrochemical	Climate change	1
Agrochemical	Ecology	1
Agrochemical	Economics	1
Agrochemical	Environmental resource management	1
Agrochemical	Environmental science	1
Agrochemical	Geography	1
Agrochemical	Greenhouse gas	1
Agrochemical	Natural resource economics	1
Agrochemical	Population	1
Agrochemical	Sustainability	1
Agrochemical	Sustainable agriculture	1
Business	Climate change	5
Business	Greenhouse gas	2
Business	Population	2
Climate change	Ecology	25
Climate change	Economics	9
Climate change	Environmental resource management	6
Climate change	Environmental science	27
Climate change	Geography	19
Climate change	Greenhouse gas	4
Climate change	Natural resource economics	5
Climate change	Population	1
Climate change	Sustainability	3
Climate change	Sustainable agriculture	2
Ecology	Greenhouse gas	6
Ecology	Population	6
Economics	Greenhouse gas	3
Economics	Population	3
Environmental resource management	Greenhouse gas	3
Environmental resource management	Population	1
Environmental science	Greenhouse gas	6
Environmental science	Population	3
Geography	Greenhouse gas	2
Geography	Population	3
Greenhouse gas	Natural resource economics	2
Greenhouse gas	Population	1
Greenhouse gas	Sustainability	1
Greenhouse gas	Sustainable agriculture	1
Natural resource economics	Population	1
Population	Sustainability	1
Population	Sustainable agriculture	1
Benchmark (surveying)	Cartography	1
Benchmark (surveying)	Computer science	2
Benchmark (surveying)	Data science	1
Benchmark (surveying)	Domain (mathematical analysis)	1
Benchmark (surveying)	Environmental monitoring	1
Benchmark (surveying)	Environmental science	1
Benchmark (surveying)	Geography	1
Benchmark (surveying)	Ground truth	1
Benchmark (surveying)	Interpretability	1
Benchmark (surveying)	Land cover	1
Benchmark (surveying)	Land use	1
Benchmark (surveying)	Machine learning	2
Benchmark (surveying)	Remote sensing	1
Benchmark (surveying)	Scale (ratio)	1
Benchmark (surveying)	Transfer of learning	1
Cartography	Computer science	8
Cartography	Data science	2
Cartography	Domain (mathematical analysis)	1
Cartography	Environmental monitoring	1
Cartography	Environmental science	9
Cartography	Geography	10
Cartography	Ground truth	3
Cartography	Interpretability	1
Cartography	Land cover	1
Cartography	Land use	1
Cartography	Machine learning	2
Cartography	Remote sensing	8
Cartography	Scale (ratio)	6
Cartography	Transfer of learning	1
Computer science	Data science	6
Computer science	Domain (mathematical analysis)	1
Computer science	Environmental monitoring	1
Computer science	Ground truth	6
Computer science	Interpretability	1
Computer science	Land cover	1
Computer science	Land use	2
Computer science	Remote sensing	18
Computer science	Scale (ratio)	6
Computer science	Transfer of learning	1
Data science	Domain (mathematical analysis)	1
Data science	Environmental monitoring	1
Data science	Environmental science	3
Data science	Geography	4
Data science	Ground truth	2
Data science	Interpretability	1
Data science	Land cover	1
Data science	Land use	2
Data science	Machine learning	2
Data science	Remote sensing	2
Data science	Scale (ratio)	2
Data science	Transfer of learning	1
Domain (mathematical analysis)	Environmental monitoring	1
Domain (mathematical analysis)	Environmental science	1
Domain (mathematical analysis)	Geography	1
Domain (mathematical analysis)	Ground truth	1
Domain (mathematical analysis)	Interpretability	1
Domain (mathematical analysis)	Land cover	1
Domain (mathematical analysis)	Land use	1
Domain (mathematical analysis)	Machine learning	1
Domain (mathematical analysis)	Remote sensing	1
Domain (mathematical analysis)	Scale (ratio)	1
Domain (mathematical analysis)	Transfer of learning	1
Environmental monitoring	Environmental science	1
Environmental monitoring	Geography	1
Environmental monitoring	Ground truth	1
Environmental monitoring	Interpretability	1
Environmental monitoring	Land cover	1
Environmental monitoring	Land use	1
Environmental monitoring	Machine learning	1
Environmental monitoring	Remote sensing	1
Environmental monitoring	Scale (ratio)	1
Environmental monitoring	Transfer of learning	1
Environmental science	Ground truth	6
Environmental science	Interpretability	1
Environmental science	Land cover	2
Environmental science	Land use	4
Environmental science	Scale (ratio)	6
Environmental science	Transfer of learning	1
Geography	Ground truth	6
Geography	Interpretability	1
Geography	Land cover	2
Geography	Land use	4
Geography	Scale (ratio)	7
Geography	Transfer of learning	1
Ground truth	Interpretability	1
Ground truth	Land cover	1
Ground truth	Land use	2
Ground truth	Machine learning	1
Ground truth	Remote sensing	6
Ground truth	Scale (ratio)	3
Ground truth	Transfer of learning	1
Interpretability	Land cover	1
Interpretability	Land use	1
Interpretability	Machine learning	1
Interpretability	Remote sensing	1
Interpretability	Scale (ratio)	1
Interpretability	Transfer of learning	1
Land cover	Land use	2
Land cover	Machine learning	1
Land cover	Remote sensing	1
Land cover	Scale (ratio)	1
Land cover	Transfer of learning	1
Land use	Machine learning	1
Land use	Remote sensing	2
Land use	Scale (ratio)	1
Land use	Transfer of learning	1
Machine learning	Remote sensing	6
Machine learning	Scale (ratio)	2
Machine learning	Transfer of learning	1
Remote sensing	Scale (ratio)	5
Remote sensing	Transfer of learning	1
Scale (ratio)	Transfer of learning	2
Adaptation (eye)	Agriculture	3
Adaptation (eye)	Climate change	1
Adaptation (eye)	Computer science	1
Adaptation (eye)	Crop production	1
Adaptation (eye)	Ecology	2
Adaptation (eye)	Environmental resource management	1
Adaptation (eye)	Environmental science	1
Adaptation (eye)	Geography	1
Adaptation (eye)	Mathematics	1
Adaptation (eye)	Predictability	1
Adaptation (eye)	Scale (ratio)	1
Adaptation (eye)	Sustainability	1
Agriculture	Computer science	15
Agriculture	Crop production	6
Agriculture	Mathematics	17
Agriculture	Predictability	1
Agriculture	Scale (ratio)	3
Climate change	Computer science	3
Climate change	Crop production	1
Climate change	Mathematics	5
Climate change	Predictability	1
Climate change	Scale (ratio)	1
Computer science	Crop production	2
Computer science	Ecology	15
Computer science	Environmental resource management	9
Computer science	Predictability	1
Computer science	Sustainability	6
Crop production	Ecology	3
Crop production	Environmental resource management	2
Crop production	Environmental science	6
Crop production	Geography	4
Crop production	Mathematics	2
Crop production	Predictability	1
Crop production	Scale (ratio)	1
Crop production	Sustainability	1
Ecology	Mathematics	18
Ecology	Predictability	1
Ecology	Scale (ratio)	1
Environmental resource management	Mathematics	7
Environmental resource management	Predictability	1
Environmental resource management	Scale (ratio)	1
Environmental science	Predictability	2
Geography	Predictability	1
Mathematics	Predictability	3
Mathematics	Scale (ratio)	3
Mathematics	Sustainability	3
Predictability	Scale (ratio)	1
Predictability	Sustainability	1
Scale (ratio)	Sustainability	2
Atmospheric radiative transfer codes	Coefficient of determination	1
Atmospheric radiative transfer codes	Computer science	2
Atmospheric radiative transfer codes	Environmental science	4
Atmospheric radiative transfer codes	Geology	1
Atmospheric radiative transfer codes	Hyperspectral imaging	3
Atmospheric radiative transfer codes	Imaging spectrometer	1
Atmospheric radiative transfer codes	Machine learning	1
Atmospheric radiative transfer codes	Mathematics	2
Atmospheric radiative transfer codes	Mean squared error	2
Atmospheric radiative transfer codes	Partial least squares regression	1
Atmospheric radiative transfer codes	Radiative transfer	4
Atmospheric radiative transfer codes	Remote sensing	4
Atmospheric radiative transfer codes	Soil carbon	1
Atmospheric radiative transfer codes	Soil science	1
Atmospheric radiative transfer codes	Soil water	1
Atmospheric radiative transfer codes	Spectrometer	1
Coefficient of determination	Computer science	1
Coefficient of determination	Environmental science	1
Coefficient of determination	Geology	1
Coefficient of determination	Hyperspectral imaging	1
Coefficient of determination	Imaging spectrometer	1
Coefficient of determination	Machine learning	1
Coefficient of determination	Mathematics	2
Coefficient of determination	Mean squared error	1
Coefficient of determination	Partial least squares regression	2
Coefficient of determination	Radiative transfer	1
Coefficient of determination	Remote sensing	1
Coefficient of determination	Soil carbon	1
Coefficient of determination	Soil science	1
Coefficient of determination	Soil water	1
Coefficient of determination	Spectrometer	1
Computer science	Geology	9
Computer science	Hyperspectral imaging	2
Computer science	Imaging spectrometer	2
Computer science	Mean squared error	3
Computer science	Partial least squares regression	1
Computer science	Radiative transfer	2
Computer science	Soil carbon	4
Computer science	Soil science	4
Computer science	Soil water	4
Computer science	Spectrometer	2
Environmental science	Geology	31
Environmental science	Hyperspectral imaging	6
Environmental science	Imaging spectrometer	2
Environmental science	Mean squared error	3
Environmental science	Partial least squares regression	2
Environmental science	Radiative transfer	4
Environmental science	Soil carbon	12
Environmental science	Soil science	32
Environmental science	Soil water	31
Environmental science	Spectrometer	2
Geology	Hyperspectral imaging	3
Geology	Imaging spectrometer	2
Geology	Machine learning	1
Geology	Mathematics	7
Geology	Mean squared error	1
Geology	Partial least squares regression	1
Geology	Radiative transfer	1
Geology	Remote sensing	15
Geology	Soil carbon	2
Geology	Soil science	8
Geology	Soil water	6
Geology	Spectrometer	2
Hyperspectral imaging	Imaging spectrometer	2
Hyperspectral imaging	Machine learning	1
Hyperspectral imaging	Mathematics	2
Hyperspectral imaging	Mean squared error	1
Hyperspectral imaging	Partial least squares regression	2
Hyperspectral imaging	Radiative transfer	3
Hyperspectral imaging	Remote sensing	6
Hyperspectral imaging	Soil carbon	1
Hyperspectral imaging	Soil science	1
Hyperspectral imaging	Soil water	1
Hyperspectral imaging	Spectrometer	2
Imaging spectrometer	Machine learning	1
Imaging spectrometer	Mathematics	1
Imaging spectrometer	Mean squared error	1
Imaging spectrometer	Partial least squares regression	1
Imaging spectrometer	Radiative transfer	1
Imaging spectrometer	Remote sensing	2
Imaging spectrometer	Soil carbon	1
Imaging spectrometer	Soil science	1
Imaging spectrometer	Soil water	1
Imaging spectrometer	Spectrometer	2
Machine learning	Mean squared error	2
Machine learning	Partial least squares regression	1
Machine learning	Radiative transfer	1
Machine learning	Soil carbon	1
Machine learning	Soil science	1
Machine learning	Soil water	1
Machine learning	Spectrometer	1
Mathematics	Mean squared error	4
Mathematics	Partial least squares regression	3
Mathematics	Radiative transfer	2
Mathematics	Remote sensing	11
Mathematics	Soil carbon	3
Mathematics	Soil science	9
Mathematics	Soil water	9
Mathematics	Spectrometer	1
Mean squared error	Partial least squares regression	1
Mean squared error	Radiative transfer	3
Mean squared error	Remote sensing	3
Mean squared error	Soil carbon	1
Mean squared error	Soil science	2
Mean squared error	Soil water	2
Mean squared error	Spectrometer	1
Partial least squares regression	Radiative transfer	1
Partial least squares regression	Remote sensing	2
Partial least squares regression	Soil carbon	1
Partial least squares regression	Soil science	1
Partial least squares regression	Soil water	1
Partial least squares regression	Spectrometer	1
Radiative transfer	Remote sensing	4
Radiative transfer	Soil carbon	1
Radiative transfer	Soil science	1
Radiative transfer	Soil water	1
Radiative transfer	Spectrometer	1
Remote sensing	Soil carbon	2
Remote sensing	Soil science	5
Remote sensing	Soil water	3
Remote sensing	Spectrometer	2
Soil carbon	Soil science	12
Soil carbon	Soil water	12
Soil carbon	Spectrometer	1
Soil science	Soil water	29
Soil science	Spectrometer	1
Soil water	Spectrometer	1
Agronomy	Biotechnology	17
Agronomy	Climate change	14
Agronomy	Ecology	73
Agronomy	Materials science	17
Biology	Biotechnology	18
Biology	Climate change	17
Biology	Ecology	82
Biology	Materials science	18
Biotechnology	Climate change	3
Biotechnology	Ecology	7
Biotechnology	Environmental science	6
Biotechnology	Materials science	4
Biotechnology	Yield (engineering)	6
Climate change	Materials science	1
Climate change	Yield (engineering)	10
Ecology	Materials science	4
Ecology	Yield (engineering)	39
Environmental science	Materials science	14
Materials science	Yield (engineering)	19
Agronomy	Atmospheric sciences	14
Agronomy	Biometeorology	2
Agronomy	Canopy	14
Agronomy	Canopy conductance	1
Agronomy	Chemistry	60
Agronomy	Ecosystem	3
Agronomy	Eddy covariance	2
Agronomy	Photosynthesis	12
Agronomy	Soil science	23
Agronomy	Soil water	26
Agronomy	Stomatal conductance	3
Agronomy	Transpiration	6
Agronomy	Vapour Pressure Deficit	4
Agronomy	Water content	6
Atmospheric sciences	Biometeorology	1
Atmospheric sciences	Canopy	9
Atmospheric sciences	Canopy conductance	1
Atmospheric sciences	Chemistry	7
Atmospheric sciences	Ecology	13
Atmospheric sciences	Ecosystem	4
Atmospheric sciences	Eddy covariance	5
Atmospheric sciences	Environmental science	22
Atmospheric sciences	Geography	11
Atmospheric sciences	Meteorology	9
Atmospheric sciences	Photosynthesis	9
Atmospheric sciences	Precipitation	4
Atmospheric sciences	Soil science	2
Atmospheric sciences	Soil water	1
Atmospheric sciences	Stomatal conductance	2
Atmospheric sciences	Transpiration	4
Atmospheric sciences	Vapour Pressure Deficit	4
Atmospheric sciences	Water content	1
Biometeorology	Canopy	2
Biometeorology	Canopy conductance	1
Biometeorology	Chemistry	1
Biometeorology	Ecology	2
Biometeorology	Ecosystem	1
Biometeorology	Eddy covariance	1
Biometeorology	Environmental science	3
Biometeorology	Geography	3
Biometeorology	Meteorology	1
Biometeorology	Photosynthesis	1
Biometeorology	Precipitation	1
Biometeorology	Soil science	1
Biometeorology	Soil water	1
Biometeorology	Stomatal conductance	1
Biometeorology	Transpiration	1
Biometeorology	Vapour Pressure Deficit	1
Biometeorology	Water content	1
Canopy	Canopy conductance	1
Canopy	Chemistry	5
Canopy	Ecology	9
Canopy	Ecosystem	3
Canopy	Eddy covariance	2
Canopy	Environmental science	14
Canopy	Geography	5
Canopy	Meteorology	1
Canopy	Photosynthesis	11
Canopy	Precipitation	1
Canopy	Soil science	2
Canopy	Soil water	1
Canopy	Stomatal conductance	2
Canopy	Transpiration	2
Canopy	Vapour Pressure Deficit	2
Canopy	Water content	1
Canopy conductance	Chemistry	1
Canopy conductance	Ecology	1
Canopy conductance	Ecosystem	1
Canopy conductance	Eddy covariance	1
Canopy conductance	Environmental science	1
Canopy conductance	Geography	1
Canopy conductance	Meteorology	1
Canopy conductance	Photosynthesis	1
Canopy conductance	Precipitation	1
Canopy conductance	Soil science	1
Canopy conductance	Soil water	1
Canopy conductance	Stomatal conductance	1
Canopy conductance	Transpiration	1
Canopy conductance	Vapour Pressure Deficit	1
Canopy conductance	Water content	1
Chemistry	Ecology	18
Chemistry	Ecosystem	1
Chemistry	Eddy covariance	1
Chemistry	Environmental science	40
Chemistry	Geography	8
Chemistry	Meteorology	6
Chemistry	Photosynthesis	3
Chemistry	Precipitation	2
Chemistry	Soil science	7
Chemistry	Soil water	8
Chemistry	Stomatal conductance	1
Chemistry	Transpiration	4
Chemistry	Vapour Pressure Deficit	2
Chemistry	Water content	1
Ecology	Ecosystem	8
Ecology	Eddy covariance	4
Ecology	Meteorology	10
Ecology	Photosynthesis	9
Ecology	Precipitation	9
Ecology	Soil science	17
Ecology	Soil water	20
Ecology	Stomatal conductance	1
Ecology	Transpiration	3
Ecology	Vapour Pressure Deficit	3
Ecology	Water content	3
Ecosystem	Eddy covariance	4
Ecosystem	Environmental science	8
Ecosystem	Geography	3
Ecosystem	Meteorology	1
Ecosystem	Photosynthesis	3
Ecosystem	Precipitation	1
Ecosystem	Soil science	2
Ecosystem	Soil water	2
Ecosystem	Stomatal conductance	1
Ecosystem	Transpiration	1
Ecosystem	Vapour Pressure Deficit	1
Ecosystem	Water content	1
Eddy covariance	Environmental science	6
Eddy covariance	Geography	2
Eddy covariance	Meteorology	2
Eddy covariance	Photosynthesis	2
Eddy covariance	Precipitation	1
Eddy covariance	Soil science	1
Eddy covariance	Soil water	1
Eddy covariance	Stomatal conductance	1
Eddy covariance	Transpiration	1
Eddy covariance	Vapour Pressure Deficit	1
