article_id,publication_year,publication_date,journal_display_name,author_type,topic_subfield,topic_field,topic_domain,type,language,source_type,oa_status,primary_topic_score,authors_count,countries_distinct_count,institutions_distinct_count,locations_count,referenced_works_count,apc_list_value_usd,apc_paid_value_usd,citation_norm_percentile,total_citations,is_oa,any_repository_has_fulltext,primary_location_is_oa,source_is_oa,source_is_in_doaj,source_is_core,has_fulltext,queried_author_is_corresponding,is_in_top_1_percent,is_in_top_10_percent,n_keywords,keywords_score_mean,keywords_score_max,sdgs,funders_count,mesh_count,title_word_count,abstract_word_count,citations_first_2y,citations_first_3y,normalized_3y_cites_exact,citations_per_year_3y,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact,normalized_2y_cites_exact
W3010323725,2020,2020-03-01,Journal of Soil and Water Conservation,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9904999732971193,1,0,1,1,58,,,0.9949396,236,1,0,1,0,0,1,1,1,1,1,12.0,0.41137445469697315,0.7346127033233643,0,0,0,7,278,26.0,57.0,19.0,19.0,7,27,34,34
W3002630908,2020,2020-01-21,Geoderma,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9998999834060668,3,1,3,1,91,2800.0,,0.99864992,216,0,0,0,0,1,1,0,0,1,1,16.0,0.46636078879237175,0.9233871698379517,1,0,0,20,0,108.0,156.0,52.0,52.0,80,47,127,127
W2912851480,2019,2019-01-24,Land Degradation and Development,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9984999895095824,3,2,3,1,113,4740.0,,0.99500126,208,0,0,0,0,0,1,0,0,1,1,13.0,0.3972216867483579,0.653800904750824,0,0,0,21,257,21.0,53.0,17.666666666666668,17.666666666666668,6,19,25,25
W4211017947,2022,2022-02-11,Nature Communications,last,Ecology,Environmental Science,Physical Sciences,article,en,journal,gold,0.9995999932289124,3,3,3,7,93,4808.0,4808.0,1.0,1010,1,1,1,1,1,1,1,1,1,1,14.0,0.45943741500377655,0.9823909997940063,1,3,0,5,148,245.0,544.0,181.33333333333334,181.33333333333334,89,200,289,289
W3185137361,2021,2021-07-27,GCB Bioenergy,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,gold,0.9994999766349792,17,10,17,12,311,2750.0,2750.0,0.99995644,907,1,1,1,1,1,1,1,0,1,1,17.0,0.43499045161639943,0.9942018985748291,0,3,0,18,317,115.0,300.0,100.0,100.0,62,151,213,213
W3199557694,2021,2021-09-13,Soil Biology and Biochemistry,last,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9986000061035156,5,3,5,1,111,4520.0,,0.99978223,832,0,0,0,0,0,1,0,0,1,1,14.0,0.4443801939487457,0.6720658540725708,1,3,0,12,0,72.0,205.0,68.33333333333333,68.33333333333333,45,108,153,153
W2945642553,2019,2019-05-17,Soil Biology and Biochemistry,first,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9998000264167786,2,1,2,1,184,4520.0,,0.99962946,699,0,0,0,0,0,1,0,1,1,1,12.0,0.4595358421405156,0.9706414937973022,1,1,0,9,0,55.0,159.0,53.0,53.0,26,81,107,107
W2993667053,2019,2019-12-04,Optics Express,middle,Mechanical Engineering,Engineering,Physical Sciences,article,en,journal,gold,0.9993000030517578,16,3,16,5,11,2270.0,2270.0,0.83731917,27,1,1,1,1,1,1,0,0,0,0,12.0,0.5927706236640612,0.8513014316558838,0,1,0,15,197,1.0,4.0,1.3333333333333333,1.3333333333333333,1,3,4,4
W4413783405,2025,2025-08-28,Classical and Quantum Gravity,middle,Electrical and Electronic Engineering,Engineering,Physical Sciences,article,en,journal,hybrid,0.9535999894142152,10,3,10,4,0,,,0.83210365,2,1,1,1,0,0,1,1,0,0,0,4.0,0.6763401925563812,0.9290329217910767,0,0,0,10,195,2.0,2.0,0.6666666666666666,0.6666666666666666,3,0,3,3
W3014670187,2020,2020-04-02,Classical and Quantum Gravity,middle,Ocean Engineering,Engineering,Physical Sciences,article,en,journal,hybrid,0.9998999834060668,13,2,13,5,44,,,0.65550081,7,1,1,1,0,0,1,1,0,0,0,6.0,0.3677814205487569,0.51249098777771,0,0,0,13,182,0.0,2.0,0.6666666666666666,0.6666666666666666,0,0,0,0
W4309472115,2022,2022-11-18,Classical and Quantum Gravity,middle,Ocean Engineering,Engineering,Physical Sciences,article,en,journal,hybrid,0.9983000159263612,12,3,12,6,58,,,0.71505867,7,1,1,1,0,0,1,0,0,0,0,14.0,0.5167602790253503,0.9100159406661987,0,0,0,7,285,3.0,3.0,1.0,1.0,2,1,3,3
W4413271797,2025,2025-07-16,Classical and Quantum Gravity,middle,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,article,en,journal,hybrid,0.9998000264167786,9,3,9,3,21,,,0.88443383,2,1,1,1,0,0,1,1,1,0,0,10.0,0.5202088266611099,0.8684144020080566,1,2,0,10,167,2.0,2.0,0.6666666666666666,0.6666666666666666,2,0,2,2
W4404100904,2024,2024-09-14,,middle,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,article,en,,closed,0.9948999881744384,23,7,23,2,0,,,0.82426868,3,0,0,0,0,0,0,0,0,0,0,10.0,0.4493706673383713,0.7401750683784485,0,0,0,12,241,3.0,3.0,1.0,1.0,3,0,3,3
W4407929856,2025,2025-01-01,,first,Epidemiology,Medicine,Health Sciences,article,en,,gold,0.7777000069618225,17,6,17,2,0,,,0.88561726,2,1,0,1,0,0,0,0,1,0,0,9.0,0.45246054397688973,0.6780584454536438,0,0,0,13,93,2.0,2.0,0.6666666666666666,0.6666666666666666,2,0,2,2
W4412568338,2025,2025-06-18,,middle,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,article,en,,green,0.9987000226974488,12,4,12,2,29,,,0.27334506,0,1,1,0,0,0,0,1,0,0,0,10.0,0.3717647045850754,0.6741762161254883,0,1,0,15,179,0.0,0.0,0.0,0.0,0,0,0,0
W4414158430,2025,2025-09-09,Classical and Quantum Gravity,middle,Ocean Engineering,Engineering,Physical Sciences,article,en,journal,hybrid,0.9995999932289124,18,3,18,3,54,,,0.2973647,0,1,1,1,0,0,1,0,0,0,0,9.0,0.6534555554389954,0.7836999893188477,0,1,0,15,223,0.0,0.0,0.0,0.0,0,0,0,0
W4416960542,2025,2025-07-14,,first,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,article,en,,closed,0.389299988746643,5,2,5,2,26,,,0.58396752,0,0,0,0,0,0,0,0,1,0,0,8.0,0.4662874974310398,0.8248000144958496,0,0,0,17,135,0.0,0.0,0.0,0.0,0,0,0,0
W4417172214,2025,2025-04-29,ArXiv.org,middle,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,preprint,en,repository,green,0.7993000149726868,18,0,18,2,0,,,,0,1,1,1,1,0,0,1,0,0,0,9.0,0.6294777757591672,0.7276999950408936,0,1,0,15,217,0.0,0.0,0.0,0.0,0,0,0,0
W2980798923,2019,2019-10-17,The Science of The Total Environment,middle,Pollution,Environmental Science,Physical Sciences,review,en,journal,closed,1.0,5,3,5,3,135,3870.0,,0.99818656,898,0,0,0,0,0,1,0,0,1,1,13.0,0.4455966376341306,0.9769706130027771,0,5,0,14,0,48.0,164.0,54.666666666666664,54.666666666666664,30,108,138,138
W3135664743,2021,2021-03-11,Soil Biology and Biochemistry,last,Pollution,Environmental Science,Physical Sciences,article,en,journal,green,1.0,8,4,8,4,76,4520.0,,0.99864682,578,1,1,0,0,0,1,0,0,1,1,14.0,0.430351442524365,0.6954180002212524,1,3,0,12,0,128.0,235.0,78.33333333333333,78.33333333333333,36,113,149,149
W2913953424,2019,2019-02-09,Functional Ecology,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9998999834060668,5,4,5,7,151,3400.0,,0.99945712,573,1,1,1,0,1,1,1,0,1,1,17.0,0.456931133480633,0.7641977071762085,1,1,0,9,208,54.0,122.0,40.666666666666664,40.666666666666664,11,57,68,68
W3155336766,2021,2021-04-21,Nature,middle,Ecology,Environmental Science,Physical Sciences,article,en,journal,green,1.0,31,4,31,11,114,11690.0,,0.99963154,508,1,1,0,0,0,1,0,0,1,1,18.0,0.4502810024552875,0.9156888723373413,1,2,0,10,0,122.0,211.0,70.33333333333333,70.33333333333333,65,93,158,158
W3034731061,2020,2020-06-12,Environmental Science & Technology,middle,Infectious Diseases,Medicine,Health Sciences,article,en,journal,bronze,0.9998000264167786,60,13,60,15,13,,,0.98236792,464,1,1,1,0,0,1,0,0,0,1,14.0,0.4088488646915981,0.8191275000572205,0,2,0,12,154,206.0,293.0,97.66666666666667,97.66666666666667,113,137,250,250
W3000487497,2020,2020-01-17,Soil Biology and Biochemistry,middle,Pollution,Environmental Science,Physical Sciences,article,en,journal,closed,0.9873999953269958,9,5,9,2,84,4520.0,,0.9928381,434,0,0,0,0,0,1,0,0,1,1,10.0,0.33863731622695925,0.5570809245109558,1,0,0,15,0,65.0,118.0,39.333333333333336,39.333333333333336,27,44,71,71
W3046790002,2020,2020-07-31,The Science of The Total Environment,first,Infectious Diseases,Medicine,Health Sciences,review,en,journal,green,0.9997000098228456,12,2,12,12,312,3870.0,,0.97950484,425,1,1,0,0,0,1,0,1,0,1,19.0,0.5100532283908442,0.9367687702178955,1,4,0,20,0,124.0,241.0,80.33333333333333,80.33333333333333,76,120,196,196
W4210522281,2022,2022-02-02,Environmental Pollution,middle,Pollution,Environmental Science,Physical Sciences,article,en,journal,green,1.0,8,4,8,4,37,3770.0,,0.99892893,420,1,1,0,0,0,1,0,0,1,1,17.0,0.43450931415838356,0.8857822418212891,1,2,0,13,0,139.0,257.0,85.66666666666667,85.66666666666667,56,100,156,156
W2809367743,2018,2018-06-01,Rhizosphere,last,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,hybrid,0.9979000091552734,2,2,2,2,279,2880.0,2880.0,0.99870861,418,1,1,1,0,0,1,1,0,1,1,13.0,0.4255753824344048,0.6089997291564941,1,3,0,6,342,30.0,72.0,24.0,24.0,19,24,43,43
W3084086363,2020,2020-09-09,Water Research,middle,Infectious Diseases,Medicine,Health Sciences,article,en,journal,hybrid,0.9998999834060668,7,3,7,9,80,4350.0,4350.0,0.97875261,413,1,1,1,0,0,1,1,0,0,1,18.0,0.34865008956856197,0.7557876706123352,1,4,0,14,149,157.0,236.0,78.66666666666667,78.66666666666667,128,86,214,214
W3043476650,2020,2020-07-18,Soil Biology and Biochemistry,last,Pollution,Environmental Science,Physical Sciences,article,en,journal,closed,1.0,6,4,6,2,70,4520.0,,0.99021051,393,0,0,0,0,0,1,0,0,1,1,14.0,0.5001504995993206,0.9006401300430298,1,0,0,13,0,43.0,109.0,36.333333333333336,36.333333333333336,19,60,79,79
W3106596460,2020,2020-11-25,The Crop Journal,middle,Nutrition and Dietetics,Nursing,Health Sciences,article,en,journal,diamond,0.9990000128746032,5,2,5,3,107,,,0.99504267,306,1,1,1,1,1,1,0,0,1,1,15.0,0.45422799785931905,0.643139123916626,1,0,0,11,230,11.0,51.0,17.0,17.0,9,33,42,42
W4317612782,2023,2023-01-01,Elsevier eBooks,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,book-chapter,en,ebook platform,closed,0.9998000264167786,7,6,7,4,692,,,1.0,202,0,0,0,0,0,0,0,0,1,1,8.0,0.4810675382614136,0.605185329914093,0,0,0,3,0,72.0,143.0,47.666666666666664,47.666666666666664,19,53,72,72
W2955692323,2019,2019-07-01,Journal of Agricultural and Food Chemistry,last,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9998000264167786,16,5,16,3,50,,3582.0,0.99470033,162,1,0,1,0,0,1,0,1,1,1,10.0,0.6229440569877625,0.9852653741836548,1,0,0,20,155,19.0,52.0,17.333333333333332,17.333333333333332,8,27,35,35
W2819066463,2018,2018-03-01,JOURNAL OF INTERNATIONAL STUDIES,middle,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,article,en,journal,diamond,0.9976000189781188,3,1,3,4,46,,,0.99535221,141,1,1,1,1,1,0,1,0,1,1,5.0,0.48236148357391356,0.7690118551254272,1,0,0,12,136,15.0,36.0,12.0,12.0,8,14,22,22
W3104987825,2020,2020-11-13,Frontiers in Plant Science,last,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,gold,0.9995999932289124,18,6,18,6,76,2950.0,2950.0,0.99132767,127,1,1,1,1,1,1,1,1,1,1,12.0,0.527741643289725,0.9878175258636475,1,0,0,20,339,15.0,34.0,11.333333333333334,11.333333333333334,11,19,30,30
W2895008079,2018,2018-10-06,Physiologia Plantarum,middle,Food Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9839000105857848,8,3,8,5,60,3760.0,,0.99108448,123,1,1,1,0,0,1,1,0,1,1,16.0,0.4603005051612854,0.8376458287239075,1,1,0,17,255,8.0,28.0,9.333333333333334,9.333333333333334,6,15,21,21
W4210647038,2022,2022-01-28,Journal of Experimental Botany,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,hybrid,0.9998000264167786,6,6,6,7,128,3530.0,3468.0,0.99567813,106,1,1,1,0,0,1,1,0,1,1,12.0,0.36331791430711746,0.7603004574775696,1,0,0,12,187,35.0,64.0,21.333333333333332,21.333333333333332,9,30,39,39
W4223640201,2022,2022-04-09,Global Food Security,middle,Industrial and Manufacturing Engineering,Environmental Science,Physical Sciences,article,en,journal,hybrid,0.9858999848365784,11,8,11,5,130,3760.0,3760.0,0.99157649,103,1,1,1,0,0,1,0,0,1,1,15.0,0.4448733448982239,0.6982474327087402,0,0,0,11,234,34.0,63.0,21.0,21.0,15,25,40,40
W53229177,2024,2024-11-06,,first,Plant Science,Agricultural and Biological Sciences,Life Sciences,book-chapter,en,,closed,0.2777999937534332,2,0,2,1,0,,,0.99265477,102,0,0,0,0,0,0,0,1,1,1,12.0,0.39966532091299695,0.6978585124015808,1,0,0,9,261,9.0,12.0,4.0,4.0,8,4,12,12
W4388513244,2023,2023-11-08,Agronomy for Sustainable Development,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,hybrid,0.9979000091552734,16,5,16,4,98,2790.0,2790.0,0.99814185,92,1,1,1,0,0,1,1,0,1,1,17.0,0.394160460023319,0.5945478081703186,1,0,0,12,250,24.0,73.0,24.333333333333332,24.333333333333332,19,43,62,62
W4320004711,2023,2023-01-01,Elsevier eBooks,first,Plant Science,Agricultural and Biological Sciences,Life Sciences,book-chapter,en,ebook platform,green,0.9998999834060668,9,7,9,4,859,,,0.99962307,81,1,1,0,0,0,0,0,1,1,1,12.0,0.4220730662345886,0.7023000121116638,1,0,0,1,0,38.0,68.0,22.666666666666668,22.666666666666668,10,28,38,38
W2902105002,2018,2018-12-02,Plant and Soil,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.992900013923645,3,3,3,2,46,4390.0,,0.96624973,71,1,0,1,0,0,1,1,0,0,1,14.0,0.3715887452874865,0.6881445646286011,0,0,0,14,0,2.0,9.0,3.0,3.0,2,7,9,9
W3025381929,2020,2020-05-15,Field Crops Research,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,hybrid,0.9988999962806702,18,7,18,4,65,3970.0,3970.0,0.97682092,59,1,1,1,0,0,1,0,0,0,1,6.0,0.521710142493248,0.7025679349899292,1,1,0,24,264,13.0,22.0,7.333333333333333,7.333333333333333,7,8,15,15
W3128348971,2021,2021-02-08,Field Crops Research,middle,Nutrition and Dietetics,Nursing,Health Sciences,article,en,journal,closed,0.9983999729156494,5,2,5,2,72,3970.0,,0.95354716,52,0,0,0,0,0,1,0,0,0,1,10.0,0.5799711972475052,0.8452726006507874,1,0,0,17,0,13.0,27.0,9.0,9.0,4,11,15,15
W2938163888,2019,2019-01-03,Journal of Nutrition,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9976000189781188,11,3,11,5,35,5000.0,,0.96593563,51,1,0,1,0,0,1,0,0,0,1,13.0,0.4781369223044469,0.8717159032821655,1,2,0,22,0,8.0,14.0,4.666666666666667,4.666666666666667,1,7,8,8
W3175061140,2021,2021-07-02,Plant and Soil,last,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9969000220298768,7,2,7,3,69,4390.0,,0.97957808,51,0,0,0,0,0,1,0,0,0,1,14.0,0.4868029611451285,0.6885722875595093,1,0,0,17,0,16.0,28.0,9.333333333333334,9.333333333333334,9,13,22,22
W2887976889,2018,2018-08-10,Journal of Agricultural and Food Chemistry,middle,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9955999851226808,19,9,19,4,81,,,0.96890724,45,0,0,0,0,0,1,0,0,0,1,9.0,0.5867174896928999,0.8533951044082642,1,0,0,22,145,2.0,11.0,3.6666666666666665,3.6666666666666665,1,9,10,10
W4367183371,2023,2023-04-26,Agronomy,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,gold,0.9822999835014344,18,8,18,8,67,2165.0,2165.0,0.98362023,31,1,1,1,1,1,1,1,0,0,1,8.0,0.5166502855718136,0.6418596506118774,1,2,0,31,652,17.0,26.0,8.666666666666666,8.666666666666666,10,9,19,19
W4226514825,2022,2022-01-15,Plant and Soil,last,Plant Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,green,0.9833999872207642,8,3,8,2,55,4390.0,,0.95042876,29,1,1,0,0,0,1,0,0,0,1,14.0,0.5385550771440778,0.7442805767059326,0,1,0,15,0,4.0,17.0,5.666666666666667,5.666666666666667,2,3,5,5
W3047420215,2020,2020-08-04,Global Ecology and Biogeography,middle,Ecology,Environmental Science,Physical Sciences,article,en,journal,green,0.9994999766349792,8,4,8,6,124,4530.0,,0.98756561,96,1,1,0,0,0,1,0,0,0,1,9.0,0.5492111013995277,0.9555214047431946,1,2,0,10,301,22.0,44.0,14.666666666666666,14.666666666666666,11,25,36,36
W3111297976,2019,2019-12-01,AGU Fall Meeting Abstracts,middle,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences,article,en,journal,closed,0.9998000264167786,7,0,7,1,0,,,0.20479134,0,0,0,0,0,0,1,0,0,0,0,16.0,0.4116799794137478,0.9264752268791199,0,0,0,22,0,0.0,0.0,0.0,0.0,0,0,0,0
W3197841408,2018,2018-12-01,AGU Fall Meeting Abstracts,middle,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences,article,en,journal,closed,0.8747000098228455,72,0,72,1,0,,,0.31785242,0,0,0,0,0,0,1,0,0,0,0,8.0,0.3424396961927414,0.5446460247039795,1,0,0,15,0,0.0,0.0,0.0,0.0,0,0,0,0
W2800720856,2018,2018-04-25,Geoderma,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9997000098228456,2,1,2,1,235,2800.0,,0.99940701,754,0,0,0,0,1,1,0,1,1,1,19.0,0.43887838564421,0.642971396446228,1,0,0,5,0,47.0,111.0,37.0,37.0,15,60,75,75
W3044121320,2020,2020-07-24,Soil Science Society of America Journal,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,closed,0.998199999332428,2,1,2,1,135,1350.0,,0.99698058,338,0,0,0,0,0,1,0,1,1,1,22.0,0.39971785247325897,0.7813682556152344,1,0,0,9,253,30.0,65.0,21.666666666666668,21.666666666666668,12,35,47,47
W2999616190,2020,2020-01-13,Soil and Tillage Research,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,closed,0.9998999834060668,2,1,2,1,89,4230.0,,0.99526627,179,0,0,0,0,0,1,0,1,1,1,14.0,0.45630858838558197,0.7790182828903198,1,1,0,12,0,46.0,80.0,26.666666666666668,26.666666666666668,18,30,48,48
W2809408555,2018,2018-06-21,Agronomy Journal,first,Environmental Chemistry,Environmental Science,Physical Sciences,article,en,journal,closed,0.9995999932289124,1,1,1,1,69,1350.0,,0.91740344,140,0,0,0,0,0,1,0,1,0,1,14.0,0.4837101570197514,0.8448821902275085,1,0,0,5,297,3.0,11.0,3.6666666666666665,3.6666666666666665,2,8,10,10
W2941454126,2019,2019-04-25,Agronomy Journal,middle,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9991000294685364,6,1,6,1,65,1350.0,,0.99300534,135,0,0,0,0,0,1,0,0,1,1,13.0,0.5424588918685913,0.8039590120315552,1,0,0,7,383,16.0,39.0,13.0,13.0,10,11,21,21
W2995326441,2019,2019-12-21,GCB Bioenergy,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,gold,0.9998000264167786,5,1,5,3,45,2750.0,2750.0,0.97841153,112,1,1,1,1,1,1,0,1,0,1,15.0,0.4226238270600637,0.9827289581298828,1,0,0,19,283,5.0,27.0,9.0,9.0,5,22,27,27
W4212812143,2022,2022-02-18,Soil Science Society of America Journal,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9993000030517578,1,1,1,1,66,1350.0,,0.99334291,104,0,0,0,0,0,1,0,1,1,1,17.0,0.4153670633540434,0.7646763324737549,0,0,0,9,259,26.0,54.0,18.0,18.0,6,29,35,35
W3185048752,2021,2021-07-23,Geoderma,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9991999864578248,1,1,1,1,113,2800.0,,0.98022562,98,0,0,0,0,1,1,0,1,0,1,9.0,0.38498618536525303,0.972071647644043,1,1,0,10,0,13.0,28.0,9.333333333333334,9.333333333333334,8,10,18,18
