journal_name,impact_factor
Plant Cell Reports,4.48121387283237
Journal of Agriculture and Food Research,4.47993905535805
Environmental Challenges,4.452743902439025
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,4.439811367585008
Climate Services,4.436018957345971
Global Ecology and Biogeography,4.414457831325302
The Plant Journal,4.4089775561097255
NASA Technical Reports Server (NASA),4.384615384615385
Frontiers in Microbiology,4.380616509926854
Atmospheric chemistry and physics,4.37012987012987
Sustainability,4.369084332762231
Frontiers in Plant Science,4.344962284482759
Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,4.337801608579088
Journal of Ecology,4.280201342281879
International Journal of Current Microbiology and Applied Sciences,4.254545454545455
Weather and Climate Extremes,4.229571984435798
Climate Risk Management,4.210762331838565
Scientia Horticulturae,4.171645844649647
Computers & Chemical Engineering,4.161180476730988
Smart Agricultural Technology,4.150910158543747
BMC Plant Biology,4.141557128412538
Sensors,4.136474231364742
Environmental Modelling & Software,4.117298578199052
Scientific Reports,4.1027846547747515
Annual Review of Resource Economics,4.042553191489362
Remote Sensing,4.014778823767588
International Journal of Food Science & Technology,3.8658641444539983
Plants,3.865427335437858
Microorganisms,3.8628346456692912
Applied Soil Ecology,3.8599618077657545
JMIR Public Health and Surveillance,3.8438485804416405
Geophysical Research Letters,3.8413120567375887
Environmental Research Letters,3.839890210430009
Frontiers in Environmental Science,3.8355034722222223
Journal of Rural Studies,3.834140435835351
Frontiers in Cellular and Infection Microbiology,3.8321804511278197
ACS Omega,3.820525912688282
Planta,3.7779390420899857
Agriculture,3.777470150545077
Agronomy,3.7703206562266964
Geoscientific model development,3.759829968119022
GCB Bioenergy,3.752173913043478
Climatic Change,3.672032193158954
Advanced Materials Technologies,3.660909090909091
Plant Signaling & Behavior,3.638655462184874
Journal of Advances in Modeling Earth Systems,3.588410104011887
Journal of Cereal Science,3.5802707930367506
Frontiers in Nutrition,3.5328568938469584
Plant Molecular Biology,3.496732026143791
European Journal of Soil Science,3.4864864864864864
Physiology and Molecular Biology of Plants,3.4468085106382977
Food and Energy Security,3.443708609271523
Frontiers in Sustainable Food Systems,3.419392523364486
GM crops & food,3.4134615384615383
Applied and Environmental Microbiology,3.3945868945868947
AMBIO,3.373809523809524
Journal of Plant Physiology,3.359897172236504
IEEE Sensors Journal,3.3593460490463216
Proceedings of the AAAI Conference on Artificial Intelligence,3.35377107364685
Water,3.332140653917335
Journal of Plant Growth Regulation,3.301341589267286
Soil Systems,3.2816455696202533
Potato Research,3.269230769230769
Journal of Plant Interactions,3.26027397260274
Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,3.241279069767442
Theoretical and Applied Genetics,3.220483641536273
Science of Remote Sensing,3.2103559870550162
Journal of the Science of Food and Agriculture,3.198193411264612
Land,3.182538185932491
Discover Agriculture,3.1749049429657794
Biofuels Bioproducts and Biorefining,3.1160092807424595
Crop Protection,3.1062857142857143
Plant Science,3.0977596741344198
Molecular Ecology,3.096192384769539
Applied Sciences,3.0193837496091986
Agricultural Economics,3.0157068062827226
Journal of Development Economics,3.0112612612612613
Plant and Soil,3.0111542192046556
Ecology and Society,2.9721448467966574
BioEnergy Research,2.939068100358423
Journal of soil science and plant nutrition,2.8850152905198776
Experimental Agriculture,2.876923076923077
Rangeland Ecology & Management,2.8734939759036147
Irrigation Science,2.8514851485148514
Forests,2.848965213562307
PLOS Sustainability and Transformation,2.8297872340425534
Frontiers in Ecology and Evolution,2.8286082474226806
International Journal of Biometeorology,2.824561403508772
Cogent Food & Agriculture,2.8225806451612905
Processes,2.810121951219512
European journal of medical research,2.803499817717827
Land Degradation and Development,2.80015026296018
The Plant Genome,2.7545219638242893
Pest Management Science,2.7317736670293797
National Bureau of Economic Research,2.7235506059613495
Genes,2.708088441085922
Food Security,2.689516129032258
Frontiers in Agronomy,2.6785714285714284
International Journal of Agriculture and Biology,2.672153635116598
Vadose Zone Journal,2.66
The Journal of Open Source Software,2.602728731942215
Ecological Modelling,2.5854591836734695
G3 Genes Genomes Genetics,2.5331491712707184
Agroforestry Systems,2.5318761384335153
Journal of Crop Health,2.5166666666666666
Journal of Food Measurement & Characterization,2.498995983935743
PLoS ONE,2.4987801445059583
European Review of Agricultural Economics,2.481818181818182
Journal of Geophysical Research Biogeosciences,2.4791666666666665
Earth and Space Science,2.4763888888888888
Ecosphere,2.4638487208008897
Theoretical and Applied Climatology,2.421127765881513
Journal of Agronomy and Crop Science,2.418300653594771
Soil Science Society of America Journal,2.3937947494033414
Rice Science,2.388571428571429
Journal of Integrative Agriculture,2.3803803803803802
Hydrological Processes,2.360240963855422
Frontiers in Genetics,2.3560893383902233
Acta Physiologiae Plantarum,2.29296875
Journal of Climate,2.29296066252588
Future Science OA,2.226993865030675
Plant Physiology Reports,2.2254335260115607
Agronomy monograph/Agronomy,2.2222222222222223
Plant Pathology,2.2142857142857144
International Journal of Remote Sensing,2.2044728434504792
Environment Systems & Decisions,2.203252032520325
Italian Journal of Agronomy,2.140845070422535
Discover Plants.,2.1194605009633913
Antonie van Leeuwenhoek,2.1113861386138613
Data in Brief,2.1044501655020227
ACS Agricultural Science & Technology,2.0995670995670994
Grass and Forage Science,2.081081081081081
Archives of Agronomy and Soil Science,2.074766355140187
Journal of Arid Environments,2.0225563909774436
Marine Georesources and Geotechnology,2.02
American Journal of Agricultural Economics,2.019607843137255
Symbiosis,2.016304347826087
Cereal Chemistry,2.0086580086580086
Journal of Environmental Quality,2.005970149253731
Plant Direct,1.976
Crop Science,1.9704347826086956
Modern Agriculture,1.9607843137254901
Sugar Tech,1.9393203883495145
Journal of Cannabis Research,1.9116279069767441
JAWRA Journal of the American Water Resources Association,1.890625
Journal of Plant Nutrition,1.877906976744186
SoftwareX,1.8673978065802592
Journal of Hydrometeorology,1.797752808988764
Advances in agronomy,1.78698224852071
International Journal of Plant Production,1.7727272727272727
HardwareX,1.6551724137931034
Journal of Ayurveda and Integrative Medicine,1.6366279069767442
In Vitro Cellular & Developmental Biology - Plant,1.6363636363636365
Agrosystems Geosciences & Environment,1.6160164271047228
in silico Plants,1.6122448979591837
Soil Research,1.5849056603773586
Agronomy Journal,1.5185185185185186
BMC Research Notes,1.5149384885764499
The Journal of Agricultural Science,1.5135135135135136
Crop and Pasture Science,1.4057971014492754
Arid Land Research and Management,1.3692307692307693
Applied Fruit Science,1.3597033374536465
Canadian Journal of Soil Science,1.336734693877551
Journal of the ASABE,1.3305439330543933
Translational Cancer Research,1.2826704545454546
Journal of General Plant Pathology,1.2820512820512822
"World Bank, Washington, DC eBooks",1.28125
International journal of agricultural and biological engineering,1.2552204176334107
"ASSA, CSSA and SSSA",1.2459016393442623
Neurology,1.234198509973564
Letters in Applied NanoBioScience,1.2236842105263157
Agricultural & Environmental Letters,1.2135922330097086
Journal of Applied Remote Sensing,1.1985981308411215
Journal of Crop Improvement,1.1594202898550725
Plant Breeding,1.121771217712177
Plant Genetic Resources,1.12
Optimization,1.0959232613908874
IT Professional,1.028169014084507
Weather Climate and Society,1.0235294117647058
Revista Brasileira de Milho e Sorgo,1.0
Applied Engineering in Agriculture,0.9666666666666667
HortScience,0.961892247043364
Canadian Journal of Plant Science,0.9576719576719577
Weed Technology,0.9393939393939394
Journal of Agrometeorology,0.915929203539823
Scientia Agricola,0.91
Economic Development and Cultural Change,0.9026548672566371
Optimization Letters,0.9
bioRxiv (Cold Spring Harbor Laboratory),0.8957010076927375
Vegetos,0.8775280898876404
Journal of Plant Registrations,0.8541666666666666
EDIS,0.8353552859618717
Biologia Plantarum,0.7777777777777778
Environmental Research Water,0.7777777777777778
Preprints.org,0.7644315037735576
Climate Research,0.75
Queensland's institutional digital repository (The University of Queensland),0.7
Crop Forage & Turfgrass Management,0.6748466257668712
Indian Journal of Pathology and Microbiology,0.6744186046511628
APN Science Bulletin,0.6666666666666666
IntechOpen eBooks,0.6530289979902383
Fruits,0.6363636363636364
Annual Plant Reviews online,0.625
Research Journal of Pharmacy and Technology,0.6221466731423021
Land Economics,0.6164383561643836
Elsevier eBooks,0.5973847071159817
Jurnal Penelitian Pendidikan IPA,0.5909090909090909
Canadian Geographies / Géographies canadiennes,0.5648854961832062
"Washington, DC: World Bank eBooks",0.5566901408450704
International Journal of Plant & Soil Science,0.5457788347205708
PubMed,0.5117412630288167
ChemRxiv,0.500782962730974
AGUFM,0.5
IOP Conference Series Earth and Environmental Science,0.4989232328350646
Open Data Journal for Agricultural Research,0.42857142857142855
International Journal for Research in Engineering Application & Management,0.3595505617977528
HydroShare Resources,0.35083532219570407
Crops & Soils,0.3411764705882353
Journal of Agricultural Science,0.3232758620689655
arXiv (Cornell University),0.3194101875424403
WORLD SCIENTIFIC (EUROPE) eBooks,0.27557251908396946
European Economic Letters (EEL),0.27091633466135456
South Eastern European Journal of Public Health,0.25140924464487036
Acta Horticulturae,0.25007559721802236
RePEc: Research Papers in Economics,0.24305060584461868
Advances in Economics Management and Political Sciences,0.22855260991272847
SSRN Electronic Journal,0.20738331068700344
Research Square,0.19015077557218787
Romanian Agricultural Research,0.18354430379746836
Burleigh Dodds series in agricultural science,0.17900172117039587
Journal of Mountain Research,0.17625899280575538
OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),0.15996299849253118
International Journal of Science Engineering and Technology,0.12532299741602068
Harvard Dataverse,0.12481864145966147
Ecology Environment and Conservation,0.11540648095508811
CSA News,0.08677685950413223
Agritrop (Cirad),0.07692307692307693
SPIRE - Sciences Po Institutional REpository,0.05730644111906311
Data Archiving and Networked Services (DANS),0.05228575422899483
Insecta mundi,0.04720225070334479
"AgEcon Search (University of Minnesota, USA)",0.04684610643106637
ArXiv.org,0.04573569582099237
Kansas Agricultural Experiment Station Research Reports,0.041474654377880185
Entrepreneurship and innovation.,0.033707865168539325
Open MIND,0.0333008885508088
HAL (Le Centre pour la Communication Scientifique Directe),0.03314285714285714
Socio-Environmental Systems Modeling,0.027601348702266132
Open Repository and Bibliography (University of Liège),0.02242637125101324
MorphoBank datasets,0.020172910662824207
Zenodo (CERN European Organization for Nuclear Research),0.020127726476183445
DIGITAL.CSIC (Spanish National Research Council (CSIC)),0.02006634841006554
SPIRE - Sciences Po Institutional REpository,0.02000361783593114
Figshare,0.012687259556986352
ScholarsArchive  (Brigham Young University),0.010885999395222256
Open PRAIRIE (South Dakota State University),0.004835589941972921
El Servicio de Difusión de la Creación Intelectual (National University of La Plata),0.0026931996708311513
Faculty of 1000 Research Ltd,0.0023074704355350445
Digital Access to Libraries,0.00034083162917518747
AGU Fall Meeting Abstracts,0.0
ADB economics working paper series,0.0
AgriXiv (OSF Preprints),0.0
EGU General Assembly Conference Abstracts,0.0
ACSESS publications,0.0
2021 IEEE/CVF International Conference on Computer Vision (ICCV),0.0
Computer Vision and Pattern Recognition,0.0
Advances in agricultural systems modeling,0.0
Iowa State University Digital Repository (Iowa State University),0.0
"2020 ASABE Annual International Virtual Meeting, July 13-15, 2020",0.0
ISU General Staff Papers,0.0
Better crops with plant food,0.0
Transactions of the ASABE,0.0
Indian Journal of Plant Physiology,0.0
AGU Fall Meeting 2019,0.0
AGU Fall Meeting 2020,0.0
Proceedings of the 30th International Conference on Advances in Geographic Information Systems,0.0
农药学学报,0.0
Frontiers in bioactive compounds,0.0
International journal of research in social sciences,0.0
Plant breeding reviews,0.0
